text,label
"Ronaldo WC 2030. Here we go!",REACTION
"If he can walk, he'll be there. It'll be a home tournament.",ANALYSIS
"Getting a little out of hand with these shared tournaments.",HOT_TAKE
"Reminder to everyone that the only reason FIFA did this was so Saudi Arabia's bid couldn't get competition.",ANALYSIS
"Yup, as corrupt as it gets. Couldn't be more blatant.",HOT_TAKE
"It also basically guarantees another US World Cup in 2038.",ANALYSIS
"I wouldn't mind seeing a WC in Australia/NZ tbh",HOT_TAKE
"China could've put in a bid for 2034 if they wanted it.",ANALYSIS
"They only gave 28 days to put a bid in after the announcement.",ANALYSIS
"And get embarrassed on home soil. Xi is smarter than that.",HOT_TAKE
"Henry is absolutely right.",HOT_TAKE
"Portugal are playing for Ronaldo instead of playing football.",ANALYSIS
"That team spends too much time trying to force chances to him.",ANALYSIS
"He should've retired after Qatar.",HOT_TAKE
"Ronaldo still has value, just not as the focal point.",ANALYSIS
"This obsession with records hurts the team.",ANALYSIS
"Thierry Henry nailed it.",REACTION
"One of the smartest football pundits around.",HOT_TAKE
"The problem is that every attack ends with a cross toward Ronaldo.",ANALYSIS
"Portugal have enough talent to play through the middle.",ANALYSIS
"Leao was ignored multiple times.",ANALYSIS
"Bruno creates more danger when he isn't looking for Ronaldo every possession.",ANALYSIS
"People won't like hearing this.",REACTION
"Ronaldo fans are going to be furious.",REACTION
"He's saying what everyone already knows.",HOT_TAKE
"The team should be built around winning, not feeding one player.",ANALYSIS
"Portugal looked much better once they stopped forcing it.",ANALYSIS
"This isn't a controversial statement.",HOT_TAKE
"He's still world class in the box.",ANALYSIS
"But he shouldn't dictate the entire attack.",ANALYSIS
"Facts.",REACTION
"Common Henry W.",REACTION
"One of the best analysts in football media.",HOT_TAKE
"The quote sounds harsh but it's correct.",ANALYSIS
"Ronaldo is chasing goals instead of helping the system.",ANALYSIS
"The issue isn't Ronaldo scoring, it's the team changing its style for him.",ANALYSIS
"This is exactly what happened against Georgia.",ANALYSIS
"Portugal have become predictable.",ANALYSIS
"They rely on crosses far too much.",ANALYSIS
"Leao and Bruno are being wasted.",HOT_TAKE
"That front line should be producing much more.",ANALYSIS
"Every pundit has been saying this for years.",ANALYSIS
"Henry understands modern football.",HOT_TAKE
"The best teams prioritize chance creation over individual records.",ANALYSIS
"People treat criticism of Ronaldo as hate.",ANALYSIS
"This comment section is going to be fun.",REACTION
"Twitter will have a meltdown over this.",REACTION
"He's right and people know he's right.",HOT_TAKE
"Portugal need balance more than they need Ronaldo goals.",ANALYSIS
"The team needs to score, not you need to score.",NEWS
"Mbappe can easily play a couple of world cups and could reach 18 goals in this tournament.",ANALYSIS
"This is exciting!",REACTION
"Mbappe will play at least two more world cups.",ANALYSIS
"Easily 3. Guy will be 38 when it happens though.",ANALYSIS
"I wouldn't be so sure about 3. Injuries and aging could prevent it.",ANALYSIS
"Agreed. Mbappe relies too much on athleticism.",ANALYSIS
"I'd say 3.",HOT_TAKE
"Boss",REACTION
"Mbappe will become the highest scorer and the record will stand for 30 years.",HOT_TAKE
"Messi is more complete, but Mbappe has youth and future tournaments on his side.",ANALYSIS
"I don't think it'll last 30 years because tournament expansion makes scoring easier.",ANALYSIS
"A future Haaland-type player could break it.",HOT_TAKE
"Valid point.",REACTION
"Being blessed to play for France helps a lot.",ANALYSIS
"Longevity matters more than raw talent for these records.",ANALYSIS
"The World Cup will eventually have 64 teams.",NEWS
"Future players will have more opportunities because of expansion.",ANALYSIS
"Mbappe has had a great team around him.",ANALYSIS
"Messi was unfortunate with some of the teams he had.",ANALYSIS
"Messi isn't a pure striker and still leads this conversation.",ANALYSIS
